"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US48187","Guadalupe County, Texas","74459","3104"
"0500000US48183","Gregg County, Texas","51361","4420"
"0500000US48347","Nacogdoches County, Texas","46459","3308"
"0500000US48439","Tarrant County, Texas","66063","1349"
"0500000US48041","Brazos County, Texas","50110","2278"
"0500000US48209","Hays County, Texas","65943","6224"
"0500000US48251","Johnson County, Texas","62390","4913"
"0500000US48037","Bowie County, Texas","47134","4912"
"0500000US48139","Ellis County, Texas","77794","3774"
"0500000US48291","Liberty County, Texas","51955","4132"
"0500000US48479","Webb County, Texas","46862","3473"
"0500000US48091","Comal County, Texas","76203","3800"
"0500000US48361","Orange County, Texas","56420","5374"
"0500000US48497","Wise County, Texas","69040","9883"
"0500000US48245","Jefferson County, Texas","47177","3730"
"0500000US48257","Kaufman County, Texas","66668","6153"
"0500000US48491","Williamson County, Texas","87454","2839"
"0500000US48181","Grayson County, Texas","51158","1866"
"0500000US48309","McLennan County, Texas","48713","3338"
"0500000US48397","Rockwall County, Texas","100595","9005"
"0500000US48409","San Patricio County, Texas","55018","6763"
"0500000US48141","El Paso County, Texas","43958","2037"
"0500000US48201","Harris County, Texas","60232","813"
"0500000US48085","Collin County, Texas","96051","3181"
"0500000US48231","Hunt County, Texas","55248","7653"
"0500000US48029","Bexar County, Texas","54149","1409"
"0500000US48203","Harrison County, Texas","50561","7915"
"0500000US48303","Lubbock County, Texas","50505","3058"
"0500000US48381","Randall County, Texas","70108","4333"
"0500000US48039","Brazoria County, Texas","73623","4248"
"0500000US48157","Fort Bend County, Texas","91931","2956"
"0500000US48451","Tom Green County, Texas","52283","5118"
"0500000US48339","Montgomery County, Texas","76929","3106"
"0500000US48441","Taylor County, Texas","47508","2986"
"0500000US48471","Walker County, Texas","40100","7234"
"0500000US48121","Denton County, Texas","88117","2773"
"0500000US48453","Travis County, Texas","76392","2247"
"0500000US48113","Dallas County, Texas","59839","1022"
"0500000US48213","Henderson County, Texas","42020","3855"
"0500000US48099","Coryell County, Texas","46131","7895"
"0500000US48215","Hidalgo County, Texas","39165","2282"
"0500000US48329","Midland County, Texas","81210","4945"
"0500000US48027","Bell County, Texas","54495","2274"
"0500000US48061","Cameron County, Texas","38378","2327"
"0500000US48005","Angelina County, Texas","47519","5773"
"0500000US48485","Wichita County, Texas","47373","3755"
"0500000US48135","Ector County, Texas","64165","6882"
"0500000US48423","Smith County, Texas","58226","4793"
"0500000US48469","Victoria County, Texas","50210","4866"
"0500000US48021","Bastrop County, Texas","69067","13636"
"0500000US48355","Nueces County, Texas","54560","4560"
"0500000US48375","Potter County, Texas","40797","3760"
"0500000US48167","Galveston County, Texas","73840","4662"
"0500000US48367","Parker County, Texas","72004","8476"
