CAMPUS,DISTRICT,COUNTY,2016 STATE RANK,LETTER GRADE
GRAHAM EL,AUSTIN ISD,TRAVIS COUNTY,304,A+
GUERRERO THOMPSON,AUSTIN ISD,TRAVIS COUNTY,760,A-
BLACKSHEAR EL,AUSTIN ISD,TRAVIS COUNTY,767,A-
BLAZIER EL,AUSTIN ISD,TRAVIS COUNTY,846,A-
ORTEGA EL,AUSTIN ISD,TRAVIS COUNTY,1061,B+
ST ELMO EL,AUSTIN ISD,TRAVIS COUNTY,1143,B+
HERNANDEZ EL,SAN MARCOS CISD,HAYS COUNTY,1307,B+
HART EL,AUSTIN ISD,TRAVIS COUNTY,1348,B
SANCHEZ EL,AUSTIN ISD,TRAVIS COUNTY,1516,B
CAMPBELL EL,AUSTIN ISD,TRAVIS COUNTY,1561,B
HIGHLAND LAKES EL,MARBLE FALLS ISD,BURNET COUNTY,1566,B
PADRON EL,AUSTIN ISD,TRAVIS COUNTY,1828,B-
WILLIAMS EL,AUSTIN ISD,TRAVIS COUNTY,1833,B-
REILLY EL,AUSTIN ISD,TRAVIS COUNTY,1853,B-
